com.samsung.shealth.step_daily_trend,6212007,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
1ea1b61f-7109-42e2-9444-751450948e69.binning_data.json,2020-01-12 04:01:00.806,2020-01-11 14:12:59.312,com.sec.android.app.shealth,-2,4277,1.2593577,3188.07,178.02,VfS0qUERdZ,com.sec.android.app.shealth,1ea1b61f-7109-42e2-9444-751450948e69,1578700800000,
af5ddd1c-56ce-4d9a-85f9-84334ae4d795.binning_data.json,2020-01-12 05:00:12.751,2020-01-12 05:00:12.751,com.sec.android.app.shealth,0,4277,1.8055556,3188.07,178.02,im26HRLwRA,com.sec.android.app.shealth,af5ddd1c-56ce-4d9a-85f9-84334ae4d795,1578700800000,
58e0aaf1-af22-4872-b52f-8eae02a47004.binning_data.json,2020-01-05 05:00:00.873,2020-01-05 05:00:00.873,com.sec.android.app.shealth,0,4826,2.3418596,3608.73,180.47,im26HRLwRA,com.sec.android.app.shealth,58e0aaf1-af22-4872-b52f-8eae02a47004,1578096000000,
2edad594-2f33-49f8-85a7-f100fdb41aa0.binning_data.json,2020-01-13 05:00:01.636,2020-01-13 05:00:01.636,com.sec.android.app.shealth,0,1807,1.6388887,1356.13,74.92,im26HRLwRA,com.sec.android.app.shealth,2edad594-2f33-49f8-85a7-f100fdb41aa0,1578787200000,
f6ab55bc-1613-495f-9e6b-ce0cf41f8908.binning_data.json,2020-01-15 05:00:01.834,2020-01-15 05:00:01.834,com.sec.android.app.shealth,0,3431,2.0000002,2607.75,141.23,im26HRLwRA,com.sec.android.app.shealth,f6ab55bc-1613-495f-9e6b-ce0cf41f8908,1578960000000,
d9078dda-452c-49b1-b470-ded5c1f782ad.binning_data.json,2020-01-08 02:08:48.055,2020-01-07 10:02:30.653,com.sec.android.app.shealth,-2,3839,1.4060506,2937.92,133.78,VfS0qUERdZ,com.sec.android.app.shealth,d9078dda-452c-49b1-b470-ded5c1f782ad,1578355200000,
23a9b9d1-0880-4d2f-a786-9b3655cf099c.binning_data.json,2020-01-16 01:35:02.009,2020-01-15 10:22:14.838,com.sec.android.app.shealth,-2,4625,1.4410394,3560.01,189.69,VfS0qUERdZ,com.sec.android.app.shealth,23a9b9d1-0880-4d2f-a786-9b3655cf099c,1579046400000,
f513e415-eb13-484a-b47d-c4a1f4e37231.binning_data.json,2020-01-18 05:46:53.568,2020-01-18 05:46:53.568,com.sec.android.app.shealth,0,3408,2.895683,2603.83,140.84999,im26HRLwRA,com.sec.android.app.shealth,f513e415-eb13-484a-b47d-c4a1f4e37231,1579219200000,
52987041-342b-4bde-85e7-ccd589b8fac1.binning_data.json,2020-01-16 05:00:01.069,2020-01-16 05:00:01.069,com.sec.android.app.shealth,0,4625,1.9166666,3560.01,189.69,im26HRLwRA,com.sec.android.app.shealth,52987041-342b-4bde-85e7-ccd589b8fac1,1579046400000,
6c78b3c1-b8fc-418d-b581-dc3d4ce465c7.binning_data.json,2020-01-08 05:00:00.907,2020-01-08 05:00:00.907,com.sec.android.app.shealth,0,3839,6.9444447,2937.92,133.78,im26HRLwRA,com.sec.android.app.shealth,6c78b3c1-b8fc-418d-b581-dc3d4ce465c7,1578355200000,
d123225e-7c7e-4f3a-acf3-32ac632d11df.binning_data.json,2020-01-15 03:10:14.423,2020-01-14 10:26:35.076,com.sec.android.app.shealth,-2,3431,1.370804,2607.75,141.23,VfS0qUERdZ,com.sec.android.app.shealth,d123225e-7c7e-4f3a-acf3-32ac632d11df,1578960000000,
