com.samsung.shealth.rewards,6212007,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-04-23 04:00:00.000,,10009,,2020-04-29 04:04:55.323,2020-04-23 22:55:02.028,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6926}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-04-23 04:00:00.000,52a6343b-c942-4f9a-81a6-40b9d592b551,1,
,2020-07-19 23:36:00.428,,,,2020-07-20 23:21:04.962,2020-07-19 23:36:00.452,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":94,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-07-19 23:36:00.428,dc560d06-bafa-4c13-84e8-493a04c8fd1e,0,
,2020-05-06 04:00:00.000,,10009,,2020-05-12 04:00:00.563,2020-05-06 22:18:20.180,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6547}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-06 04:00:00.000,adbf130c-774a-4d95-b725-c63029471597,1,
,2020-07-21 22:55:03.534,,,,2020-07-23 01:33:33.344,2020-07-21 22:55:03.540,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":73,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-07-21 22:55:03.534,889fedaa-0b13-42a1-86e1-ce034a02aaf5,0,
,2020-05-08 04:00:00.000,,100003,,2020-05-14 04:00:02.716,2020-05-08 22:56:38.524,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6381}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-08 04:00:00.000,9418b385-d275-4b04-89a4-2d613e251922,1,
,2020-07-23 04:00:00.000,,100003,,2020-07-29 04:00:03.224,2020-07-24 00:11:35.732,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":6516}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-23 04:00:00.000,ebd1c4c6-386c-4053-95ca-88b30e6e19d7,1,
,2020-05-21 01:47:04.377,,,,2020-05-23 22:00:00.328,2020-05-21 01:47:04.400,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":60,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-05-21 01:47:04.377,9a8cfb26-aed7-4d15-a84c-4dab1b2f0b52,0,
,2020-09-28 23:30:00.422,,,,2020-09-30 02:06:13.130,2020-09-28 23:30:00.453,,,goal_activity_reward_goal_achieved,UTC-0400,"{""mIsCompleted"":false,""mValue"":66,""mValue2"":60}",im26HRLwRA,com.sec.android.app.shealth,goal.activity,2020-09-28 23:30:00.422,75ca5724-b8a9-473b-8d25-1411baff464f,0,
,2020-07-27 04:00:00.000,,100003,,2020-08-02 04:00:34.830,2020-07-27 23:33:31.328,,,tracker_pedometer_reward_target_achieved,UTC-0400,"{""mTarget"":6000,""mValue"":7220}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-07-27 04:00:00.000,3a620773-c5ed-458b-8c68-4bb95a740ae5,1,
,2020-05-23 04:00:00.000,,100003,,2020-05-24 02:55:15.879,2020-05-23 22:47:42.553,,,tracker_pedometer_reward_most_walking_day,UTC-0400,"{""mTarget"":-1,""mValue"":16951}",im26HRLwRA,com.sec.android.app.shealth,tracker.pedometer,2020-05-23 04:00:00.000,d82d7aae-e49f-4a50-9807-1cbce206a262,1,
