com.samsung.shealth.activity.day_summary,6212007,2
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
4315,2794400,,0,2020-02-13 04:50:27.138,2020-02-12 05:00:00.474,60,120000,76,3295.1199,175.88998,89f2db98-2996-425c-b07e-c4e6634f9545.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2794400,18960000,89f2db98-2996-425c-b07e-c4e6634f9545,1581465600000,
0,0,,0,2019-12-11 21:51:20.425,2019-12-11 21:51:20.425,-1,0,0,0.0,0.0,bca03e0e-7049-45e2-86f8-d4459f821eb9.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,bca03e0e-7049-45e2-86f8-d4459f821eb9,1574553600000,
4207,2711752,,0,2020-02-15 02:55:17.055,2020-02-14 05:00:00.569,60,180000,75,3209.9695,171.44002,5d228cd7-7aef-437b-be89-1dc635699ee7.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2711752,19980000,5d228cd7-7aef-437b-be89-1dc635699ee7,1581638400000,
3433,2189830,,0,2020-02-08 03:23:46.954,2020-02-07 05:00:02.086,60,120000,60,2629.24,140.36003,140622cb-54c0-4222-a448-299c7a9a8623.extra_data.json,im26HRLwRA,3482,com.sec.android.app.shealth,2186348,22500000,140622cb-54c0-4222-a448-299c7a9a8623,1581033600000,
5724,3750998,,0,2019-12-19 02:59:21.058,2019-12-18 05:00:01.426,60,120000,103,4319.6807,203.83998,3bcd96c8-08f1-4ea2-b72c-854cb44e8b8c.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,3750998,20280000,3bcd96c8-08f1-4ea2-b72c-854cb44e8b8c,1576627200000,
2315,1520700,,0,2020-02-19 02:35:01.583,2020-02-18 05:00:00.244,60,60000,41,1770.4497,94.33,5cfbb48f-3e9c-4982-844d-fa23eb9410f5.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,1520700,17760000,5cfbb48f-3e9c-4982-844d-fa23eb9410f5,1581984000000,
5047,3246757,,0,2020-02-21 03:13:41.634,2020-02-20 05:00:02.086,60,180000,90,3872.5093,205.96004,693e1b6c-45c5-46c9-b0a2-11d845ed5244.extra_data.json,im26HRLwRA,4800,com.sec.android.app.shealth,3241957,20700000,693e1b6c-45c5-46c9-b0a2-11d845ed5244,1582156800000,
4087,2691255,,0,2019-12-25 05:17:10.882,2019-12-24 05:00:00.954,60,60000,73,3071.8699,145.70999,aff0d0d2-767c-45e3-8dc9-a7bfe928850d.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,2691255,27480000,aff0d0d2-767c-45e3-8dc9-a7bfe928850d,1577145600000,
0,0,,0,2019-12-11 21:51:20.608,2019-12-11 21:51:20.608,-1,0,0,0.0,0.0,3d10fda4-e5b0-44e9-8dfa-8385674142be.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,0,-1,3d10fda4-e5b0-44e9-8dfa-8385674142be,1575072000000,
5468,3562724,,0,2020-02-25 05:00:01.123,2020-02-24 05:00:01.676,60,120000,98,4167.5107,222.93001,03bd5e30-5bfd-4def-b450-d81213101cea.extra_data.json,im26HRLwRA,0,com.sec.android.app.shealth,3562724,20640000,03bd5e30-5bfd-4def-b450-d81213101cea,1582502400000,
