com.samsung.shealth.tracker.pedometer_step_count,6212007,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
13033,4,0,27,2022-05-05 13:04:00.000,,,2022-05-05 13:05:32.394,2022-05-05 13:05:32.394,27,1.6388888,21.36,1.08,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:05:00.000,4afb4a1c-0d82-4a55-8afb-410078524b47,
57008,4,0,118,2022-05-05 22:24:00.000,,,2022-05-05 22:25:39.510,2022-05-05 22:25:39.510,118,1.6388888,93.43,4.73,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 22:25:00.000,779e189f-6a78-4346-b65f-f77b5c36dd12,
34534,4,0,69,2022-05-05 13:12:00.000,,,2022-05-05 13:13:21.536,2022-05-05 13:13:21.536,69,1.5555557,53.72,2.83,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:13:00.000,b8c2bf25-4614-4ed7-a9e2-76db7a18009a,
16530,4,0,30,2022-05-05 13:20:00.000,,,2022-05-05 13:35:01.849,2022-05-05 13:35:01.849,30,1.3611112,22.5,1.3,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 13:21:00.000,c0b73856-3099-41d6-a337-12021f2b292c,
6531,4,0,11,2022-05-05 23:03:00.000,,,2022-05-05 23:03:57.691,2022-05-05 23:03:57.434,11,1.2447304,8.13,0.48,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 23:04:00.000,ee32b953-9351-4d2a-9c24-abc671ba5a5a,
33833,4,0,65,2022-05-05 14:31:00.000,,,2022-05-05 14:35:01.960,2022-05-05 14:35:01.960,65,1.4722222,49.81,2.68,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 14:32:00.000,5d742e61-1b45-438f-a91d-67ed8754e042,
6435,4,0,10,2022-05-05 11:09:00.000,,,2022-05-05 11:13:42.569,2022-05-05 11:13:42.569,10,1.1111112,7.15,0.47,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:10:00.000,23f6b8a7-bc0e-4c08-9b1f-a9a42eae3a0e,
28080,4,0,52,2022-05-05 14:30:00.000,,,2022-05-05 14:35:01.924,2022-05-05 14:30:45.455,52,1.4170066,39.79,2.15,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 14:31:00.000,5a24c9cb-f3c2-42b5-9ea4-a541e8e5b7e7,
58877,4,0,108,2022-05-05 11:16:00.000,,,2022-05-05 11:20:48.005,2022-05-05 11:16:26.724,118,1.5428643,90.84001,4.7299995,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 11:17:00.000,2393033b-5320-44a2-8636-ae1df0c854cd,
40873,4,0,77,2022-05-05 15:13:00.000,,,2022-05-05 15:15:02.370,2022-05-05 15:15:02.370,77,1.4444444,59.04,3.16,UTC-0400,im26HRLwRA,com.sec.android.app.shealth,2022-05-05 15:14:00.000,74c4ba36-a29a-4326-8ca0-4d4e67a84f13,
