com.samsung.health.weight,6212007,10
body_fat_mass,start_time,custom,height,weight,muscle_mass,update_time,create_time,skeletal_muscle,fat_free_mass,basal_metabolic_rate,time_offset,deviceuuid,skeletal_muscle_mass,comment,fat_free,pkg_name,body_fat,datauuid,vfa_level,total_body_water
,2022-01-09 15:00:30.323,,169.0,85.35,,2022-01-09 15:00:30.339,2022-01-09 15:00:30.339,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.189707,6b6609bb-12b1-445a-b36d-156e639de467,,,
,2022-01-15 13:45:11.987,,169.0,85.45,,2022-01-15 13:45:12.019,2022-01-15 13:45:12.019,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,17.22995,0ba0055f-47a3-486c-8bcf-54709413acc5,,,
,2022-01-21 12:44:22.352,,169.0,84.7,,2022-01-21 12:44:22.394,2022-01-21 12:44:22.394,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.999561,ee24d906-4f38-4675-bdb8-6d620878d8f5,,,
,2022-01-27 12:29:38.481,,169.0,84.05,,2022-01-27 12:29:38.514,2022-01-27 12:29:38.514,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.866556,816d97dc-f860-45ee-9927-7693090b0006,,,
,2022-02-02 11:20:19.679,,169.0,84.25,,2022-02-02 11:20:19.697,2022-02-02 11:20:19.697,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.889898,659d6141-d844-4641-892e-75cd88aed080,,,
,2022-02-08 11:35:24.599,,169.0,83.35,,2022-02-08 11:35:24.625,2022-02-08 11:35:24.625,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.670574,57176a59-0dff-41d4-9d6c-83f71693c733,,,
,2022-02-13 14:27:39.624,,169.0,83.45,,2022-02-13 14:27:39.631,2022-02-13 14:27:39.631,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.682245,f45f8668-aa5c-467b-9388-2ac0a27cfb03,,,
,2022-02-19 15:16:25.267,,169.0,84.2,,2022-02-19 15:16:25.335,2022-02-19 15:16:25.335,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.884064,e47e1f2c-de60-45d7-9b04-611915ef5b50,,,
,2022-02-25 11:26:35.261,,169.0,82.65,,2022-02-25 11:26:35.305,2022-02-25 11:26:35.305,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.44602,bb9dc1ae-0fd4-40eb-aa7b-268d0dfb91dc,,,
,2022-03-03 11:34:23.515,,169.0,82.6,,2022-03-03 11:34:23.606,2022-03-03 11:34:23.606,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.440186,c96684b0-b64e-4f01-bd8d-f642a86a42b4,,,
,2022-03-09 11:02:44.776,,169.0,82.1,,2022-03-09 11:02:44.833,2022-03-09 11:02:44.833,,,,UTC-0500,im26HRLwRA,,,,com.qingniu.fitindex,16.324688,e11a9b11-356a-460f-ac7a-403b0b2e7e97,,,
,2022-03-16 10:04:01.852,,169.0,81.6,,2022-03-16 10:04:01.987,2022-03-16 10:04:01.987,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.20919,9c618c7b-407f-4e56-be11-f0fd418213a2,,,
,2022-03-22 10:52:07.766,,169.0,81.5,,2022-03-22 10:52:07.786,2022-03-22 10:52:07.786,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.168947,7dc43c74-e8f0-4c5e-8fd2-806de65c92c0,,,
,2022-03-28 10:20:19.519,,169.0,82.2,,2022-03-28 10:20:19.796,2022-03-28 10:20:19.796,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.336359,8899fb32-dc87-41bc-af1b-88188cc7ea45,,,
,2022-04-03 12:42:29.548,,169.0,81.95,,2022-04-03 12:42:29.550,2022-04-03 12:42:29.550,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.27861,36cfc256-6ed8-462b-b9ed-8f5f3b158cad,,,
,2022-04-09 13:28:03.090,,169.0,80.9,,2022-04-09 13:28:03.122,2022-04-09 13:28:03.122,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.013208,1e74bafa-03b3-42c4-a8d7-acbb5fad8579,,,
,2022-04-15 14:07:38.596,,169.0,81.3,,2022-04-15 14:07:38.656,2022-04-15 14:07:38.656,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.117035,7939fff1-5850-4c43-840f-7026493af8c8,,,
,2022-04-20 11:03:40.852,,169.0,82.15,,2022-04-20 11:03:40.939,2022-04-20 11:03:40.939,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.330523,a81f060c-cfde-45de-9304-01ef9422cbe2,,,
,2022-04-25 10:43:08.709,,169.0,82.95,,2022-04-25 10:43:08.735,2022-04-25 10:43:08.735,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.538176,ed0f5af7-af4f-4249-91fc-0806791647d9,,,
,2022-04-30 13:03:32.148,,169.0,82.15,,2022-04-30 13:03:32.155,2022-04-30 13:03:32.155,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.330523,6d6663d9-aa7b-4017-8152-bf89ef385664,,,
,2022-05-05 10:09:27.051,,169.0,82.1,,2022-05-05 10:09:27.120,2022-05-05 10:09:27.120,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.324688,0cc59b87-d871-4810-9b1b-79af8928f2ef,,,
,2022-05-10 10:28:22.078,,169.0,82.55,,2022-05-10 10:28:22.169,2022-05-10 10:28:22.169,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.462921,180bf9c3-de70-4afc-910e-3c6506c68208,,,
,2022-05-16 10:28:10.264,,169.0,82.1,,2022-05-16 10:28:10.291,2022-05-16 10:28:10.291,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.324688,f76abb0e-451a-460c-98ac-395e833e86a2,,,
,2022-05-23 14:08:43.245,,169.0,83.2,,2022-05-23 14:08:43.285,2022-05-23 14:08:43.285,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.624496,7428dbf8-b482-4c8b-8de7-3fc08016b831,,,
,2022-05-29 13:56:30.895,,169.0,82.85,,2022-05-29 13:56:30.976,2022-05-29 13:56:30.976,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.526506,7d67db70-262e-4569-9b04-6a1103d45de1,,,
,2022-06-04 11:58:54.572,,169.0,82.25,,2022-06-04 11:58:54.651,2022-06-04 11:58:54.651,,,,UTC-0400,im26HRLwRA,,,,com.qingniu.fitindex,16.370766,822f4492-d1a8-41a8-b55c-d9a368377562,,,
,2021-04-06 12:12:46.158,,169.0,88.25,,2021-04-06 12:12:46.164,2021-04-06 12:12:46.164,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,17.956736,4f13a907-8e29-4ed6-b616-de74c3ca0b85,,,
,2021-04-13 11:09:50.635,,169.0,88.8,,2021-04-13 11:09:50.660,2021-04-13 11:09:50.660,,,,UTC+0000,im26HRLwRA,,,,com.qingniu.fitindex,18.10664,48d24ffe-6c10-4d66-a5a7-e4456bad3ef3,,,
