Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2019-12-02,Breakfast,208.2,1.9,1.1,0.1,0.0,0.0,10.0,91.6,542.0,31.6,4.1,15.3,21.5,1.0,17.0,28.0,1.0,
2019-12-02,Lunch,876.0,9.2,0.1,0.2,0.1,0.0,0.0,1.0,358.5,100.2,5.7,0.3,91.5,0.0,2.0,7.4,24.9,
2019-12-02,Dinner,650.0,46.5,0.7,0.6,3.7,0.7,9.0,384.8,53.8,23.3,6.0,6.2,55.0,12.0,6.0,0.0,0.0,
2019-12-02,Snacks,360.0,9.0,6.0,0.9,2.0,0.0,0.0,200.0,400.0,53.0,8.0,33.0,20.0,2.0,8.0,12.0,32.0,
2019-12-03,Breakfast,208.2,1.9,1.1,0.1,0.0,0.0,10.0,91.6,542.0,31.6,4.1,15.3,21.5,1.0,17.0,28.0,1.0,
2019-12-03,Lunch,1166.0,23.2,4.6,0.2,0.1,0.0,0.0,1.0,358.5,100.2,8.7,0.3,104.5,0.0,2.0,7.4,24.9,
2019-12-03,Snacks,100.0,6.0,3.5,0.0,0.0,0.1,2.5,22.5,0.0,12.0,1.0,11.0,1.0,0.0,0.0,1.0,7.5,
2019-12-05,Lunch,1560.0,104.0,46.6,0.0,0.0,0.0,0.0,2800.0,0.0,6.6,0.0,0.0,154.0,0.0,0.0,0.0,0.0,
2019-12-08,Lunch,246.0,7.5,4.6,0.0,0.0,0.2,34.0,176.0,120.0,16.4,0.0,14.2,30.8,18.0,0.0,45.0,0.0,
2019-12-09,Breakfast,212.5,2.7,1.1,0.1,0.0,0.0,10.0,91.0,552.8,31.0,4.1,15.0,21.5,51.0,267.0,38.0,1.0,
2019-12-09,Lunch,932.5,9.4,0.1,0.4,0.1,0.0,0.0,1.5,537.8,110.3,8.5,0.4,96.0,0.0,3.0,8.9,32.9,
2019-12-09,Dinner,522.0,25.2,3.0,0.0,0.0,0.0,370.0,970.0,462.8,37.2,4.0,15.2,46.0,52.0,30.0,16.0,28.0,
2019-12-09,Snacks,215.0,12.0,2.3,3.8,6.0,0.0,0.0,48.8,170.0,26.5,6.5,18.3,6.0,2.0,8.0,9.5,8.0,
2019-12-10,Breakfast,212.5,2.7,1.1,0.1,0.0,0.0,10.0,91.0,552.8,31.0,4.1,15.0,21.5,51.0,267.0,38.0,1.0,
2019-12-10,Lunch,932.5,9.4,0.1,0.4,0.1,0.0,0.0,1.5,537.8,110.3,8.5,0.4,96.0,0.0,3.0,8.9,32.9,
2019-12-10,Dinner,794.0,32.0,6.6,0.0,0.0,0.2,394.0,1138.0,462.8,78.3,16.9,39.5,57.5,70.0,36.4,64.0,47.4,
2019-12-10,Snacks,265.0,15.0,4.1,3.8,6.0,0.0,1.3,60.1,170.0,32.5,7.0,23.8,6.5,2.0,8.0,10.0,11.8,
2019-12-11,Breakfast,316.5,8.1,2.6,0.1,0.0,0.0,195.0,271.0,730.4,32.4,4.1,15.4,35.5,57.0,267.0,40.0,5.0,
2019-12-11,Lunch,932.5,9.4,0.1,0.4,0.1,0.0,0.0,1.5,537.8,110.3,8.5,0.4,96.0,0.0,3.0,8.9,32.9,
2019-12-11,Dinner,600.0,39.5,13.0,0.0,0.0,0.2,80.0,1200.0,75.0,40.0,2.0,6.0,23.0,4.0,0.0,10.0,14.0,
2019-12-11,Snacks,765.0,44.0,4.1,3.8,6.0,0.0,1.3,60.1,170.0,87.5,7.0,23.8,11.5,2.0,8.0,10.0,11.8,
2019-12-16,Breakfast,212.5,2.7,1.1,0.1,0.0,0.0,10.0,91.0,552.8,31.0,4.1,15.0,21.5,51.0,267.0,38.0,1.0,
2019-12-16,Lunch,876.0,9.2,0.1,0.2,0.1,0.0,0.0,1.0,358.5,100.2,5.7,0.3,91.5,0.0,2.0,7.4,24.9,
2019-12-16,Snacks,370.0,23.0,4.5,2.5,4.0,0.0,0.0,172.5,380.0,41.0,13.0,22.5,10.0,2.0,8.0,13.0,16.0,
2019-12-17,Breakfast,212.5,2.7,1.1,0.1,0.0,0.0,10.0,91.0,552.8,31.0,4.1,15.0,21.5,51.0,267.0,38.0,1.0,
